=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      3.4910        0.998332        0.001668
      3.4955        0.996499        0.003501
      3.5000        0.997481        0.002519
      3.5045        0.997553        0.002447
      3.5090        0.996697        0.003303
      3.5135        0.998478        0.001522
      3.5180        0.996066        0.003934
      3.5225        0.999205        0.000795
      3.5270        0.995641        0.004359
      3.5315        0.999698        0.000302
      3.5360        0.995440        0.004560
      3.5405        0.999954        0.000046
      3.5450        0.995456        0.004544
      3.5495        0.999989        0.000011
      3.5541        0.995663        0.004337
      3.5586        0.999841        0.000159
      3.5631        0.996022        0.003978
      3.5676        0.999552        0.000448
      3.5721        0.996487        0.003513
      3.5766        0.999170        0.000830
      3.5811        0.997013        0.002987
      3.5856        0.998741        0.001259
      3.5901        0.997559        0.002441
      3.5946        0.998304        0.001696
      3.5991        0.998090        0.001910
      3.6036        0.997891        0.002109
      3.6081        0.998577        0.001423
      3.6126        0.997526        0.002474
      3.6171        0.999003        0.000997
      3.6216        0.997223        0.002777
      3.6261        0.999354        0.000646
      3.6306        0.996993        0.003007
      3.6351        0.999626        0.000374
      3.6396        0.996836        0.003164
      3.6441        0.999820        0.000180
      3.6486        0.996750        0.003250
      3.6532        0.999940        0.000060
      3.6577        0.996729        0.003271
      3.6622        0.999995        0.000005
      3.6667        0.996765        0.003235
      3.6712        0.999992        0.000008
      3.6757        0.996848        0.003152
      3.6802        0.999943        0.000057
      3.6847        0.996968        0.003032
      3.6892        0.999858        0.000142
      3.6937        0.997116        0.002884
      3.6982        0.999746        0.000254
      3.7027        0.997283        0.002717
      3.7072        0.999615        0.000385
      3.7117        0.997461        0.002539
      3.7162        0.999474        0.000526
      3.7207        0.997643        0.002357
      3.7252        0.999328        0.000672
      3.7297        0.997824        0.002176
      3.7342        0.999183        0.000817
      3.7387        0.998000        0.002000
      3.7432        0.999042        0.000958
      3.7477        0.998167        0.001833
      3.7523        0.998908        0.001092
      3.7568        0.998323        0.001677
      3.7613        0.998784        0.001216
      3.7658        0.998466        0.001534
      3.7703        0.998671        0.001329
      3.7748        0.998596        0.001404
      3.7793        0.998568        0.001432
      3.7838        0.998712        0.001288
      3.7883        0.998477        0.001523
      3.7928        0.998814        0.001186
      3.7973        0.998398        0.001602
      3.8018        0.998903        0.001097
      3.8063        0.998329        0.001671
      3.8108        0.998978        0.001022
      3.8153        0.998271        0.001729
      3.8198        0.999042        0.000958
      3.8243        0.998222        0.001778
      3.8288        0.999093        0.000907
      3.8333        0.998183        0.001817
      3.8378        0.999133        0.000867
      3.8423        0.998153        0.001847
      3.8468        0.999162        0.000838
      3.8514        0.998132        0.001868
      3.8559        0.999181        0.000819
      3.8604        0.998118        0.001882
      3.8649        0.999189        0.000811
      3.8694        0.998112        0.001888
