,Date,Model,Ticker,Weight
315,2003-01-02,Markowitz,GE,0.0
316,2003-01-02,Markowitz,MS,0.0
317,2003-01-02,Markowitz,RTX,0.0
318,2003-01-02,Markowitz,TXN,0.0
319,2003-01-02,Markowitz,IBM,0.0
320,2003-01-02,Markowitz,SPGI,0.0
321,2003-01-02,Markowitz,LMT,0.20385
322,2003-01-02,Markowitz,ADP,0.0
323,2003-01-02,Markowitz,COF,0.0
324,2003-01-02,Markowitz,WDC,0.0
325,2003-01-02,Markowitz,ABT,0.0
326,2003-01-02,Markowitz,GILD,0.0
327,2003-01-02,Markowitz,UNP,0.0
328,2003-01-02,Markowitz,ADI,0.0
329,2003-01-02,Markowitz,TMUS,0.0
330,2003-01-02,Markowitz,MMM,0.0
331,2003-01-02,Markowitz,ADBE,0.0
332,2003-01-02,Markowitz,AXP,0.0
333,2003-01-02,Markowitz,BA,0.0
334,2003-01-02,Markowitz,CVX,0.0
335,2003-01-02,Markowitz,CSCO,0.0
336,2003-01-02,Markowitz,DD,0.0
337,2003-01-02,Markowitz,XOM,0.0
338,2003-01-02,Markowitz,FDX,0.0
339,2003-01-02,Markowitz,GS,0.0
340,2003-01-02,Markowitz,GM,0.0
341,2003-01-02,Markowitz,HAS,0.0
342,2003-01-02,Markowitz,JBL,0.0
343,2003-01-02,Markowitz,KMB,0.0
344,2003-01-02,Markowitz,KLAC,0.0
345,2003-01-02,Markowitz,LOW,0.0
346,2003-01-02,Markowitz,MKC,0.18409
347,2003-01-02,Markowitz,NEM,0.3
348,2003-01-02,Markowitz,OLN,0.0
349,2003-01-02,Markowitz,PH,0.0
350,2003-01-02,Risk-Parity,PPG,0.006051209748861315
351,2003-01-02,Risk-Parity,DELL,0.13444130513158753
352,2003-01-02,Risk-Parity,QCOM,0.004236580635691993
353,2003-01-02,Risk-Parity,AMAT,0.0034803715653409653
354,2003-01-02,Risk-Parity,MRK,0.007723451880383182
355,2003-01-02,Risk-Parity,AME,0.0073089690160511546
356,2003-01-02,Risk-Parity,PG,0.014664034981288236
357,2003-01-02,Risk-Parity,CL,0.012665989525462008
358,2003-01-02,Risk-Parity,V,0.1344413051431039
359,2003-01-02,Risk-Parity,MA,0.1344413052179348
360,2003-01-02,Risk-Parity,MU,0.003721285224689839
361,2003-01-02,Risk-Parity,T,0.006335156117441506
362,2003-01-02,Risk-Parity,JPM,0.0038881548903624266
363,2003-01-02,Risk-Parity,JNJ,0.009228277743132758
364,2003-01-02,Risk-Parity,INTC,0.003636565346101812
365,2003-01-02,Risk-Parity,GE,0.004894890572405866
366,2003-01-02,Risk-Parity,MS,0.004376270084050348
367,2003-01-02,Risk-Parity,RTX,0.0056857193117111245
368,2003-01-02,Risk-Parity,TXN,0.0035315362864046474
369,2003-01-02,Risk-Parity,IBM,0.005530558343042787
370,2003-01-02,Risk-Parity,SPGI,0.009121457925634903
371,2003-01-02,Risk-Parity,LMT,0.011143158594712994
372,2003-01-02,Risk-Parity,ADP,0.006570210912389292
373,2003-01-02,Risk-Parity,COF,0.004030064581037734
374,2003-01-02,Risk-Parity,WDC,0.0037877758360452536
375,2003-01-02,Risk-Parity,ABT,0.008393026192295577
376,2003-01-02,Risk-Parity,GILD,0.005519960818783435
377,2003-01-02,Risk-Parity,UNP,0.008762289726885612
378,2003-01-02,Risk-Parity,ADI,0.0033647658429991844
379,2003-01-02,Risk-Parity,TMUS,0.13444130505606874
380,2003-01-02,Risk-Parity,MMM,0.008217420181372184
381,2003-01-02,Risk-Parity,ADBE,0.004401633315719601
382,2003-01-02,Risk-Parity,AXP,0.004642292632485168
383,2003-01-02,Risk-Parity,BA,0.006832834821853727
384,2003-01-02,Risk-Parity,CVX,0.008649736308011089
385,2003-01-02,Risk-Parity,CSCO,0.003905262445290259
386,2003-01-02,Risk-Parity,DD,0.005584191254426485
387,2003-01-02,Risk-Parity,XOM,0.0068367017443267675
388,2003-01-02,Risk-Parity,FDX,0.008144412235957434
389,2003-01-02,Risk-Parity,GS,0.005779069484492405
390,2003-01-02,Risk-Parity,GM,0.13444130515724154
391,2003-01-02,Risk-Parity,HAS,0.009883698881607183
392,2003-01-02,Risk-Parity,JBL,0.003396485263786577
393,2003-01-02,Risk-Parity,KMB,0.013155970815450002
394,2003-01-02,Risk-Parity,KLAC,0.003922970629084415
395,2003-01-02,Risk-Parity,LOW,0.00673131051319738
396,2003-01-02,Risk-Parity,MKC,0.016234811577739348
397,2003-01-02,Risk-Parity,NEM,0.031372318079764525
398,2003-01-02,Risk-Parity,OLN,0.0066736292630019695
399,2003-01-02,Risk-Parity,PH,0.0057769931432910876
400,2004-01-02,Simulated (Max Sharpe Ratio),PPG,0.025234443816717893
401,2004-01-02,Simulated (Max Sharpe Ratio),DELL,0.004181887875360396
402,2004-01-02,Simulated (Max Sharpe Ratio),QCOM,0.0013970859086060996
