Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2023-01-12,1181930.254201903,1237902.3215746435,987579.2493936558,1230776.3286199481,1221817.2425731423
2023-01-13,1181121.1839489443,1239261.0424013182,983107.5044830571,1224509.5568315568,1223486.355918481
2023-01-17,1176796.523590486,1230840.9649768746,975609.6296633923,1218182.5212228806,1214798.4283197224
2023-01-18,1159289.469323616,1213335.2432461826,959094.9313036561,1192883.1140786211,1194708.2081418813
2023-01-19,1148367.7120602122,1197918.7068603553,963005.665378059,1179148.3206296116,1182767.7438617586
2023-01-20,1166372.561303887,1218559.5683188217,970250.272276557,1196788.9738524968,1199579.7023295288
2023-01-23,1179397.2418145633,1238634.9522440801,967666.0635697992,1214938.1043669065,1213079.5672076063
2023-01-24,1181949.6776244347,1235370.5201564785,972261.5761213425,1225888.3929405694,1211091.7154408656
2023-01-25,1183790.7756171045,1236770.5128334854,973248.1844146332,1227940.4391782668,1212674.5575462626
2023-01-26,1192832.9805193301,1241015.9889526116,984807.939049343,1229349.0140236898,1213376.8136935881
2023-01-27,1188294.0457543181,1239442.430744403,973885.4758354519,1236407.3031775893,1209046.4011391334
2023-01-30,1178531.781998016,1227019.6536202729,969438.6547693422,1224775.2621610197,1199279.0578086341
2023-01-31,1195325.723824948,1245912.6203833402,981814.148837451,1234759.3535612412,1216062.0150994167
2023-02-01,1201466.2860741233,1258523.5291832758,976376.3879293805,1239467.9768040974,1225226.3828856105
2023-02-02,1198913.799899523,1269489.5563953351,950804.1649453809,1239427.1511764154,1229596.5186117378
2023-02-03,1194644.3612082142,1261331.8634374694,956713.5705962364,1242466.8481769853,1223049.7252612142
2023-02-06,1189111.4763885348,1250548.5265756366,966865.3914536255,1243006.9584324548,1215148.6511843526
2023-02-07,1204241.2991809498,1263906.3687653027,979753.5851300999,1248788.7127786488,1225111.6549256511
2023-02-08,1193438.570100836,1250471.6500537912,979180.9760783646,1242793.9319580162,1214893.0038340406
2023-02-09,1186918.4292955287,1240220.1584546247,980410.5499343664,1240563.9792961194,1204997.386968125
2023-02-10,1202284.2328269742,1246794.2927196634,1006247.5858904491,1250442.05682984,1214173.0379146778
2023-02-13,1211996.3098984407,1260299.806092531,1009071.0472823645,1259117.1106398688,1226022.2173412952
2023-02-14,1210517.4020903066,1259341.6374915661,1000704.7574901094,1261917.0977820365,1222475.7523705193
2023-02-15,1214065.8786585652,1263514.9672206824,995301.1036697704,1267988.6412674102,1223939.5975905063
2023-02-16,1205743.9667656703,1249341.038959123,983836.0174973411,1251198.5650067634,1211513.9439979827
2023-02-17,1199489.8785959983,1247113.5384390745,983069.0814414597,1253306.7580729348,1213425.94162938
2023-02-21,1181458.4248209617,1220356.7257908145,983062.242805654,1234211.3728318952,1192248.7375806833
2023-02-22,1177569.0849495893,1217027.0122161596,977903.4700900791,1232296.6038312195,1189085.271820875
2023-02-23,1180901.577988666,1220658.0453209083,983173.6929872772,1237043.227307771,1191136.4689063013
2023-02-24,1174500.244266531,1210040.7652130509,979648.7644657805,1232401.915056147,1181912.0115282496
2023-02-27,1173263.6221917577,1212130.1002966145,977575.6393937838,1232785.7369684493,1184039.8209557072
2023-02-28,1169164.6892684435,1207947.0272893223,965645.1894756958,1229489.276328194,1177619.2242925789
2023-03-01,1171040.0283216862,1206887.1459510755,968409.7387035472,1226337.4491676,1175926.317544333
2023-03-02,1178115.4248907652,1215268.8555216454,973007.4643861718,1231946.4731291705,1183827.4297986077
2023-03-03,1189271.273064432,1229073.4609554382,978581.6891078885,1241000.0929872107,1195661.106009661
2023-03-06,1189152.1023870874,1225199.103712605,993893.7751228926,1245969.3201299664,1194830.123477923
2023-03-07,1171222.460370834,1203852.4869147872,986058.6107835262,1228851.1911585245,1175018.2057575863
2023-03-08,1172002.435031697,1209364.957819289,973880.1697012567,1231709.0032493873,1177335.5942390969
2023-03-09,1155787.0446773102,1189328.5109924607,965798.7379107635,1213770.345460039,1160094.967654146
2023-03-10,1142923.0441957505,1173359.7807237634,962722.4171352063,1198879.5129499917,1148106.6438443891
2023-03-13,1136012.6472367335,1164715.2355034214,954993.4075167548,1196374.8910000676,1142974.1891864142
2023-03-14,1150424.279096664,1181585.0104477461,963769.0971874982,1209842.6272868605,1156994.5852189942
2023-03-15,1126869.9004886348,1164167.5860411865,946709.8485890535,1183443.1426708587,1144143.5715116477
2023-03-16,1137361.2871832836,1181676.1098673,944604.0888334838,1198438.1048636422,1156792.0055126247
2023-03-17,1125404.0845541144,1169991.311812116,925134.7493916202,1182176.8287669676,1145018.801258796
