,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
182,Risk-Parity,MRK,0.03189624756729037,0.0005900509633790999,0.030106048520434695,0.03211406332843486,0.0020080148080001657,0.018499071470218887
183,Risk-Parity,MS,0.013861158830703343,0.0002362095650051628,0.013769813463829573,0.014555694392457243,0.0007858809286276705,0.017041112355046656
184,Risk-Parity,MU,0.011922752973350976,0.000869783435494977,0.009996506778497123,0.014069026457159245,0.004072519678662121,0.07295156055309247
185,Risk-Parity,NEM,0.036248688717215,0.005574052184519769,0.021290557771196005,0.047032108035671656,0.02574155026447565,0.15377251927660973
186,Risk-Parity,OLN,0.009645282653801417,0.0011127183657972917,0.008015080410740899,0.012915313340459545,0.004900232929718647,0.11536399769049226
187,Risk-Parity,PG,0.03664256975232643,0.002711879294210339,0.030321221582102386,0.037799592416640715,0.007478370834538329,0.07400898224497922
188,Risk-Parity,PH,0.012821720550866417,0.00047638807329422085,0.011391029839565322,0.013441167018677832,0.00205013717911251,0.03715476962739055
189,Risk-Parity,PPG,0.016242727945343555,0.0011889135702343662,0.015865521817698673,0.020001137082749004,0.004135615265050331,0.0731966683327478
190,Risk-Parity,QCOM,0.015429777705871043,0.0009555364930476971,0.012943117644252869,0.017387347099129785,0.004444229454876917,0.061928079021132926
191,Risk-Parity,RTX,0.012743505062009245,0.0009878879356492202,0.011262133542679848,0.01563188182971757,0.004369748287037721,0.07752089639720061
192,Risk-Parity,SPGI,0.023686578515658793,0.0020112011248117124,0.01898163932680712,0.028414973784597435,0.009433334457790314,0.0849088914839322
193,Risk-Parity,T,0.02604041233594856,0.0020112937751661114,0.024926468956388302,0.03240445979149932,0.007477990835111019,0.0772374012061836
194,Risk-Parity,TMUS,0.023160439404945766,0.0005864311274044652,0.022928281065205516,0.02484519028928109,0.001916909224075572,0.025320380030408082
195,Risk-Parity,TXN,0.016005582914565865,0.0008412210611927029,0.013969682039859025,0.0179128412478172,0.003943159207958175,0.05255797715603038
196,Risk-Parity,UNP,0.017927171085143186,0.0008049459714815679,0.015538015115543249,0.01904907036201576,0.00351105524647251,0.044900891928713285
197,Risk-Parity,V,0.018407831191104757,0.0008598576176086123,0.015681069083198,0.01866977846607881,0.0029887093828808095,0.04671151145845593
