,Parameter,Parameter Value,Scenario,Model,Calibration End,Validation Start,Validation End,Annualized Return,Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Terminal Growth,Initial Turnover,Initial Transaction Cost Rate,HHI,Effective Holdings,Active Holdings (>1%),Maximum Weight,Validation Days
10,Lookback Window,504.0,Lookback Window=504,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.09910363567677416,0.15923584429395565,0.16946662723643333,-0.8798406984801231,-1.30613464701367,-0.5209237647553738,-0.19024594841303372,-0.01647193058203822,-0.023781971863111463,0.573859225823104,1.0000000000000002,0.0010000000000000002,0.03592868971736779,27.832910352881694,31,0.08231953378193868,1341
11,Lookback Window,504.0,Lookback Window=504,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
12,Lookback Window,504.0,Lookback Window=504,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.04762832531559469,0.22547212543564155,0.23865978164124838,-0.40906902974690923,-0.6226948386539023,-0.5311822467032205,-0.08966475369084644,-0.02472456271100365,-0.03354888929000505,0.7712943410268452,1.0,0.001,0.2547208408,3.9258664381732835,5,0.3,1341
13,Lookback Window,504.0,Lookback Window=504,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.05164396586054609,0.22030496676805655,0.21415124261394683,-0.47463635802375875,-0.6805003576164577,-0.5087688626137383,-0.1015077172671918,-0.0216689533199389,-0.030737854382244884,0.7541452726799601,1.0,0.001,0.1299480792,7.695381156507313,10,0.19928,1341
14,Lookback Window,504.0,Lookback Window=504,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.09617109271314828,0.1630093181950545,0.14988943333985372,-0.9751927768098594,-1.4119974325410114,-0.5373774940518622,-0.17896375225544303,-0.014844559220248854,-0.021314787960063274,0.5838697770502148,1.0000000000000002,0.0010000000000000002,0.022766508086448086,43.92417125203564,50,0.047032108035671656,1341
15,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.049551337943701035,0.22299767303932638,0.21584985261161624,-0.4612064207559415,-0.6866135126249107,-0.5170202634526908,-0.09584022415832287,-0.02133197118298058,-0.0304194271242093,0.7630429080118949,1.0000000000000002,0.0010000000000000002,0.060236240558644426,16.601301653718348,29,0.18549765443470378,1341
16,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
17,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.036441377159385335,0.23986702345554511,0.2643852289993593,-0.32695236979216724,-0.5036024761756925,-0.5757175013620142,-0.06329732390134656,-0.026085161261978573,-0.03528822623264452,0.8207458311970813,1.0,0.001,0.16996186340000002,5.883672842810218,7,0.2,1341
18,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
19,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
20,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.07511692782132973,0.19010093891949276,0.20666102945971915,-0.6054210034104015,-0.9121108639481782,-0.5727042760452636,-0.13116180717217635,-0.02040468106638993,-0.028207417203827172,0.6599841295839789,0.9999999999999998,0.0009999999999999998,0.04937308225328782,20.253951229334252,29,0.12043812079169251,1341
21,Maximum Weight,0.3,Maximum Weight=0.3,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
22,Maximum Weight,0.3,Maximum Weight=0.3,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
23,Maximum Weight,0.3,Maximum Weight=0.3,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
24,Maximum Weight,0.3,Maximum Weight=0.3,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
25,Maximum Weight,0.4,Maximum Weight=0.4,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.08613409487490076,0.1759245081369476,0.18716131722263868,-0.7273623465310503,-1.0796152950768063,-0.553354018806312,-0.15565820785165363,-0.01784879759476088,-0.025837857618787794,0.6192113150315903,0.9999999999999998,0.0009999999999999998,0.046828455963607504,21.354537095503318,27,0.08043631424699928,1341
26,Maximum Weight,0.4,Maximum Weight=0.4,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
