,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
88,Equal-Weight,PH,0.020712175978184862,0.020712175978184862,0.28471362433957287,0.00565776738096515,0.031881070162581404,0.027713083875895467,750,670,0.005816858413935742
89,Equal-Weight,PPG,0.01796580911072247,0.01796580911072247,0.017964673846852946,9.035649640632959e-05,0.0005091516860991588,0.0004425875075856328,729,687,0.00498610800707478
90,Equal-Weight,QCOM,0.018706619627300053,0.018706619627300053,0.12992604983380615,0.0016502753162810262,0.009299170433012132,0.008083439134009477,737,683,0.007833232408151673
91,Equal-Weight,RTX,0.021025790857048816,0.021025790857048816,0.24860670863687082,0.0050171114246408705,0.028271024694404907,0.024574999352848487,746,664,0.005091642763689976
92,Equal-Weight,SPGI,0.01877122481807744,0.01877122481807744,0.0968458861309993,0.001636348329675442,0.009220692968806062,0.00801522145697356,760,658,0.004541542118964007
93,Equal-Weight,T,0.01955651713355776,0.01955651713355776,0.12173191853010604,0.0020950813739957276,0.0118056172661664,0.010262204494251465,733,668,0.0047524781266844686
94,Equal-Weight,TMUS,0.019962572738299742,0.019962572738299742,0.09526369921452024,0.0018567270983132704,0.010462509839701761,0.00909468883137891,735,683,0.005143551303236322
95,Equal-Weight,TXN,0.019969104217928066,0.019969104217928066,0.16673537219370843,0.0029929563172486203,0.01686507131148032,0.014660208501299836,724,693,0.006904815102045399
96,Equal-Weight,UNP,0.018863366196755903,0.018863366196755903,0.118057806495451,0.0018790302424329572,0.010588186286725395,0.009203934910629987,739,680,0.004372297077737082
97,Equal-Weight,V,0.019252025333507658,0.019252025333507658,0.1319124624963826,0.002238134605444761,0.012611710871950638,0.010962913083862774,752,667,0.004406056600666017
98,Equal-Weight,WDC,0.024309349634123484,0.024309349634123484,0.5669313480694387,0.015994279508282284,0.0901264956419081,0.07834376701997413,750,668,0.016031819583003943
99,Equal-Weight,XOM,0.022870273908448892,0.022870273908448892,0.31709764675706065,0.006987820119436275,0.03937581178412504,0.03422799702425591,762,655,0.006946386122430723
100,Markowitz,ABT,0.01631513233982123,0.01631513233982123,0.047634863094408,-0.003608478043703909,-0.0203334873891252,-0.01758084250813767,121,130,0.010359038334152299
101,Markowitz,ADBE,0.015221000583871701,0.015221000583871701,-0.022546846405223857,-0.003755772424256706,-0.02116347953351001,-0.01829847450574694,120,132,0.013443867693873115
102,Markowitz,ADI,0.0,0.0,0.23314478332260657,0.0,0.0,0.0,0,0,0.0
103,Markowitz,ADP,0.017049730270379475,0.017049730270379475,0.13983873500759025,0.00037404769112963233,0.002107729053190785,0.0018223953336106774,253,248,0.009949071561041727
104,Markowitz,AMAT,0.0,0.0,0.4136165172681757,0.0,0.0,0.0,0,0,0.0
105,Markowitz,AME,0.0,0.0,0.151775427366502,0.0,0.0,0.0,0,0,0.0
106,Markowitz,AXP,0.018769102675991405,0.018769102675991405,0.23730633078679256,0.005090781488105338,0.028686149655196745,0.02480276352017248,131,119,0.013393140432863816
