,Rebalance Date,Next Rebalance,Model,Holding Days,Gross Return,Net Return,Annualized Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Allocation Turnover,Transaction Cost Rate
32,2010-01-04,2011-01-03,Simulated (Max Sharpe Ratio),252,0.08846292577133408,0.08726499220246908,0.08846292577133408,0.21249547028875762,0.18100586200292765,0.2554532573841431,-0.18627247651267298,0.4749114170139652,-0.02086068261774942,-0.02982613205901495,1.1005736075174084,0.0011005736075174084
33,2010-01-04,2011-01-03,Equal-Weight,252,0.12968695241655515,0.12968695241655515,0.12968695241655515,0.18373463251147668,0.43370676136181147,0.5899390744590777,-0.14362115564652,0.9029794519669534,-0.017522667654586613,-0.026721692598968068,0.0,0.0
34,2010-01-04,2011-01-03,Markowitz,252,-0.0667772835817837,-0.06789715084148551,-0.0667772835817837,0.17987998412236164,-0.6491955408576591,-1.0548135009573958,-0.22558153035872686,-0.2960228325235331,-0.01802836636232877,-0.023405939474115265,1.2000000000000002,0.0012000000000000001
35,2010-01-04,2011-01-03,Risk-Parity,252,0.08959512154410731,0.08944695690822435,0.08959512154410731,0.0949955153595047,0.41681042935829127,0.5777247609306505,-0.06930553671163675,1.2927556122520272,-0.009315243420026447,-0.013733343458105238,0.1359813686326109,0.0001359813686326109
36,2011-01-03,2012-01-03,Simulated (Max Sharpe Ratio),252,0.06990579673502051,0.06873693484075516,0.06990579673502051,0.24445814751618583,0.08142824011910882,0.1082278591837845,-0.2087651848520189,0.33485371032805367,-0.025176633255620664,-0.03727177796008954,1.092490477042163,0.0010924904770421631
37,2011-01-03,2012-01-03,Equal-Weight,252,0.033173092268639515,0.033173092268639515,0.033173092268639515,0.2430165135278404,-0.0692418284135772,-0.09248705276887748,-0.20625229255069577,0.16083744746975714,-0.02488544469610513,-0.03673353600702278,0.0,0.0
38,2011-01-03,2012-01-03,Markowitz,252,-0.1306896155055608,-0.13201041093134624,-0.1306896155055608,0.28244498284243796,-0.6397338472333869,-0.8607152967064452,-0.28915868399375977,-0.45196503767592594,-0.028739901797445767,-0.043448546526960515,1.5193600000000003,0.0015193600000000002
39,2011-01-03,2012-01-03,Risk-Parity,252,-0.03519185932149482,-0.035429491861190154,-0.03519185932149482,0.17332830882998573,-0.49150574361778265,-0.6550515374801155,-0.1555911061961972,-0.2261816898269147,-0.017724732458269152,-0.026533876136100414,0.2463003053936266,0.0002463003053936266
40,2012-01-03,2013-01-02,Simulated (Max Sharpe Ratio),250,0.23411936365561448,0.2327171143380835,0.23619796375468738,0.13020844687372135,1.4299991146908138,2.3298923810716747,-0.0967399301991212,2.4415767436312774,-0.011861617120996927,-0.01653406036511709,1.1362347588302173,0.0011362347588302173
41,2012-01-03,2013-01-02,Equal-Weight,250,0.21159084260641237,0.21159084260641237,0.21345263776992573,0.14090551463214931,1.160015902831329,1.9089536750647678,-0.11836637691733687,1.8033215456023794,-0.012933825340310585,-0.017722581008231493,0.0,0.0
42,2012-01-03,2013-01-02,Markowitz,250,0.26883461854536117,0.2662969493082705,0.27125378638737385,0.12954348219048703,1.707949968968964,3.165413833166376,-0.07093102308302246,3.824191088712764,-0.010901673626109016,-0.014469563156267141,2.0,0.002
43,2012-01-03,2013-01-02,Risk-Parity,250,0.1377872114899552,0.13746536550689648,0.13896279152003466,0.08871712051477693,1.0027691498983762,1.6480244110998452,-0.06539681028668431,2.1249169632410863,-0.008392169145477175,-0.011103786229927682,0.28287010067307555,0.00028287010067307557
44,2013-01-02,2014-01-02,Simulated (Max Sharpe Ratio),252,0.4911299479837046,0.48952460723390234,0.4911299479837046,0.13544728998483377,3.256838494392162,4.7720893468912955,-0.0595759005985913,8.243768756310123,-0.012866745903894607,-0.018573510891449548,1.0765934598611446,0.0010765934598611446
45,2013-01-02,2014-01-02,Equal-Weight,252,0.41899766666335414,0.41899766666335414,0.41899766666335414,0.1187657173143337,3.1069375490465734,4.4822886662487695,-0.04650473779557884,9.009784519270804,-0.012105723775762273,-0.016360252557950233,0.0,0.0
46,2013-01-02,2014-01-02,Markowitz,252,0.5056953926072425,0.5031390877483488,0.5056953926072425,0.1565068034618035,2.91166506840361,4.652380272156136,-0.07269271038616287,6.956617656995523,-0.014588239796246205,-0.020081909414740765,1.6977569775697756,0.0016977569775697757
47,2013-01-02,2014-01-02,Risk-Parity,252,0.28193527202298707,0.2817021789881091,0.28193527202298707,0.08823850865523068,2.628503989445409,3.840216223504185,-0.03732242047198675,7.55404575741813,-0.009038759606869336,-0.012058151544146942,0.18182902051690636,0.00018182902051690637
48,2014-01-02,2015-01-02,Simulated (Max Sharpe Ratio),252,0.2242774797560636,0.2228121938701182,0.2242774797560636,0.1547678906354363,1.1260570848418625,1.5117447254602572,-0.10064829670640996,2.2283286165316705,-0.017654550913706355,-0.022991925161901627,1.1968576651736518,0.0011968576651736518
49,2014-01-02,2015-01-02,Equal-Weight,252,0.1398980685051967,0.1398980685051967,0.1398980685051967,0.12020671942569365,0.7478622570743029,0.9750863530779461,-0.08340573112231309,1.6773196112871256,-0.01370980464621482,-0.018613994373177126,0.0,0.0
50,2014-01-02,2015-01-02,Markowitz,252,0.28549718936573676,0.2832329948142176,0.28549718936573676,0.1894823639689423,1.242844898242544,1.890257992807934,-0.1110594127551282,2.570670799378541,-0.018954431920496048,-0.02552042484883092,1.7613376133761338,0.001761337613376134
51,2014-01-02,2015-01-02,Risk-Parity,252,0.09948894421707344,0.09931794937609739,0.09948894421707344,0.08944408335508718,0.5532947777060396,0.7228876032337268,-0.06134540255103549,1.6217832156909386,-0.009234145704943941,-0.013872980059295732,0.15552211040900055,0.00015552211040900055
52,2015-01-02,2016-01-04,Simulated (Max Sharpe Ratio),252,-0.07873181359003611,-0.07981617303338995,-0.07873181359003611,0.17583555331254727,-0.7321148150352484,-1.1049133428219364,-0.20361617111120167,-0.38666778360662724,-0.017151683807362216,-0.025446522321762866,1.17702907725424,0.0011770290772542401
53,2015-01-02,2016-01-04,Equal-Weight,252,-0.019346793812752394,-0.019346793812752394,-0.019346793812752394,0.15949873174175105,-0.4347795938906509,-0.6544554296798126,-0.16051091987030008,-0.1205325707957157,-0.016585536712097188,-0.022579311875314364,0.0,0.0
