,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
183,Risk-Parity,MS,0.009640205339605312,0.004005404671159517,0.0042410905323426755,0.015456402848005046,0.01121531231566237,0.415489559615906
184,Risk-Parity,MU,0.008232827986129064,0.002976920404317789,0.003721285224689839,0.0152466749383002,0.01152538971361036,0.3615914737115122
185,Risk-Parity,NEM,0.026212516925454944,0.01671211219260421,0.008341263916834008,0.08736450988952395,0.07902324597268993,0.6375622852292792
186,Risk-Parity,OLN,0.009997359676434135,0.003089812798761839,0.005534224555617513,0.016056411679734678,0.010522187124117165,0.30906288247737784
187,Risk-Parity,PG,0.025465472967287895,0.009295748756873242,0.011826546659564419,0.04556475076309547,0.03373820410353105,0.3650334226587605
188,Risk-Parity,PH,0.010524557365631838,0.0030450965626580826,0.005420104449398089,0.016123866649455535,0.010703762200057445,0.28933250652439874
189,Risk-Parity,PPG,0.012604531853101729,0.0043447630083155745,0.006051209748861315,0.02195470365212434,0.015903493903263025,0.3446984829703464
190,Risk-Parity,QCOM,0.01159893892988894,0.004295685081186036,0.003718257906431061,0.019350572171875198,0.015632314265444137,0.37035155604765024
191,Risk-Parity,RTX,0.014845862015097086,0.006012482688895883,0.0056857193117111245,0.02775150497468347,0.022065785662972345,0.40499384156889345
192,Risk-Parity,SPGI,0.014329896287019419,0.004354779427762735,0.007227138853248777,0.02222628351461689,0.014999144661368112,0.3038946926439004
193,Risk-Parity,T,0.021189710950154678,0.0090157974507696,0.0062810553616716785,0.04061074201214752,0.03432968665047584,0.42547996393050314
194,Risk-Parity,TMUS,0.043934818851147125,0.04696309246093073,0.006594143516390666,0.13495504006922382,0.12836089655283314,1.068926507243458
195,Risk-Parity,TXN,0.01108367104375354,0.004137310199707074,0.0035315362864046474,0.019085431426438697,0.015553895140034048,0.3732797719613621
196,Risk-Parity,UNP,0.01382254001218776,0.004245922085822492,0.00784100138790463,0.022536349114752642,0.014695347726848012,0.3071737959939875
197,Risk-Parity,V,0.04839065362774239,0.053517758342718255,0.011382547154417952,0.17058663011254555,0.1592040829581276,1.105952375729773
198,Risk-Parity,WDC,0.009177347296615918,0.0031518656929053336,0.003685175775660043,0.01344130213707603,0.009756126361415988,0.3434397316605379
199,Risk-Parity,XOM,0.016931573827889786,0.0068700570402345056,0.0068367017443267675,0.03503721398827736,0.028200512243950593,0.4057541909611561
200,Simulated (Max Sharpe Ratio),ABT,0.019343349809542637,0.021596275920879524,0.0001696658899983292,0.08995359541735211,0.08978392952735378,1.1164703184050082
201,Simulated (Max Sharpe Ratio),ADBE,0.022436519195176186,0.028914974517431486,0.0003794054138948726,0.11399981727503175,0.11362041186113687,1.2887460067178405
202,Simulated (Max Sharpe Ratio),ADI,0.014778544076806548,0.014409947825239307,0.0005934323684965578,0.06301437624249047,0.06242094387399391,0.9750586898376737
